setup_1 with rest 683.2 and lengths: ,length in mm,index
,2314,0
setup_2 with rest 997.2 and lengths: ,length in mm,index
,2000,1
setup_3 with rest 997.2 and lengths: ,length in mm,index
,2000,2
setup_4 with rest 997.2 and lengths: ,length in mm,index
,2000,3
setup_5 with rest 997.2 and lengths: ,length in mm,index
,2000,4
setup_6 with rest 997.2 and lengths: ,length in mm,index
,2000,5
setup_7 with rest 1025.2 and lengths: ,length in mm,index
,1972,6
setup_8 with rest 1025.2 and lengths: ,length in mm,index
,1972,7
setup_9 with rest 1741.2 and lengths: ,length in mm,index
,1256,8
